	ID_31;;pilot3_lane7	ID_15;;pilot3_lane4	ID_14;;pilot3_lane4	ID_3;;pilot3_lane1	ID_38;;pilot3_lane8	ID_25;;pilot3_lane6	ID_26;;pilot3_lane6	ID_27;;pilot3_lane6	ID_32;;pilot3_lane7	ID_5;;pilot3_lane1	ID_19;;pilot3_lane5	ID_33;;pilot3_lane7	ID_35;;pilot3_lane7	ID_28;;pilot3_lane6	ID_9;;pilot3_lane2	ID_37;;pilot3_lane8	ID_8;;pilot3_lane2	ID_7;;pilot3_lane2	ID_10;;pilot3_lane3	ID_34;;pilot3_lane7	ID_30;;pilot3_lane7	ID_4;;pilot3_lane1	ID_36;;pilot3_lane8	ID_17;;pilot3_lane4	ID_11;;pilot3_lane3	ID_23;;pilot3_lane5	ID_40;;pilot3_lane8	ID_12;;pilot3_lane3	ID_22;;pilot3_lane5	ID_39;;pilot3_lane8	ID_21;;pilot3_lane5	ID_13;;pilot3_lane4	ID_2;;pilot3_lane1	ID_16;;pilot3_lane4	ID_29;;pilot3_lane6	ID_20;;pilot3_lane5	ID_1;;pilot3_lane1	ID_6;;pilot3_lane1	ID_18;;pilot3_lane4	ID_24;;pilot3_lane5
TP53BP2	0	0.0626202691441951	0.109793111821059	0.0755501653327188	0.0817734834995542	0.0280258123644677	0.0800584629315714	0.273409713079083	0.0388627303055471	0.0584919919678034	0.0678541869551188	0.176273099338196	0	0	0.0474096060563698	0.0463992960110572	0.0422677092421514	0.130950666216543	0.0706943071078875	0.0920745697584363	0	0	0	0.0984359896485233	0.0534595721142114	0.0123698814629098	0	0.0336768914725376	0.0815002189747622	0.0914202558161256	0.0949990302980114	0.139242709041617	0.031293362501253	0	0.148407082137798	0.0458999098746885	0.137159856626384	0	0	0.280246345179146
DHX16	0.0454583846235064	0	0.157636553671138	0.0537376904607553	0.0438109472003295	0	0	0	0.0260196928261555	0.11274445891501	0	0	0.240007302880335	0	0	0.0253597897217455	0.0230127682756582	0.0568859747282796	0.0712674500639778	0.0436101867204035	0.0629209796107512	0	0.0276877435280667	0	0.0481485526824061	0.0532265103298033	0	0.0738641627612486	0	0.0120220054547715	0.0439646534691023	0.0355539060027931	0.0631298836950664	0.0824567727242483	0	0.134182536699517	0.0210856953825264	0	0.071694842586135	0
S100A6	0.646598140481063	0.744265900277896	0.566484842981683	0.152176520801094	0.784108300950915	0.783937339279637	0.968267157566185	0.434361595475762	0.803530846652688	0.776551077779897	0.439326314413335	0.405302705964725	0.84661012435621	0.500983660271468	0.993978638825392	0.804995318670333	0.400691051747646	0.961625774228181	0.985226629010504	0.557655424275629	0.428527295666055	0.535846370781108	0.710058707981662	0.544851323666442	0.719138459620463	0.741853557831014	0.834255118993253	0.861767370158538	0.486005544948031	0.390446234374672	0.65330991968919	0.718492101823394	0.55763516104529	1.45339378945861	0.36910815954621	0.656158133633897	0.830393413918557	0.845402467021012	0.597279856190291	0.898013397193743
TLE4	0.159670227193926	0.141829607097027	0	0.162799497524099	0.152745963026133	0.211272902236341	0.0423618057917382	0.0984175041113622	0.0472310794466331	0.0542170826141248	0.0546572942068349	0.265642416109986	0.152221108490674	0	0.111520918164033	0.0978657905522128	0.0580713462758865	0.0540390284881725	0.045558457263591	0.287316360012447	0.110494646856847	0.111005548877838	0.0405034041658052	0.181013192671855	0.253128309247115	0.161423737385867	0.163611930669644	0.0871498272179039	0.124901403386409	0.165514759547453	0	0.0578088267629278	0.105283716562915	0.0859916350619949	0.148407082137798	0.0731998363410827	0.21835983964472	0.0642287685101029	0.0634053745263699	0
ARL6IP5	0.298596964587335	0.262554065230479	0.08202221498766	0.296009968992778	0.208801302389013	0.178593994742208	0.280134009953952	0.0940623208251238	0.260230962267163	0.194433272363634	0.390604276303475	0.129042852639093	0.095661450595578	0.240846567387776	0.381764036254454	0.183192606563594	0.367195250748387	0.414325899461212	0.181040631852266	0.399970196537427	0.149151109491547	0.255651749152763	0.512016239979438	0.308941619207618	0.199233532967719	0.177749844088777	0.231636824236778	0.337231599466868	0.577724275674805	0.194332393742541	0.244133746016456	0.385453014027799	0.307152849564761	0.159161553923703	0.224378474969969	0.125873960357518	0.112183144893936	0.319289937065298	0.265187129373711	0
VMA21	0.119783035870521	0.142441124935767	0	0.17399432085801	0.101062352287834	0	0.0735772499568281	0	0.188231876639795	0.137376833534844	0.0549540889711988	0.137195416066848	0.219910139943537	0	0.15037296203125	0.099936658466329	0.106191950796504	0.10692624495822	0.0364422124258893	0	0.054852708133923	0	0.136449463166667	0.0632858181090892	0.0825624233298169	0.106328276391845	0	0.147543287058903	0.124901403386409	0.0744666964509768	0.0616032372805542	0.0927187847572494	0.0631298836950664	0.186437531257098	0	0	0.251714998866633	0.223017611777017	0.123544595784523	0.297941613086832
CYSLTR1	0.0206004618281909	0.0448749015497582	0	0.142757402848302	0	0.0572185064825465	0.0404327644989292	0	0.182862001726101	0	0.0539710412284787	0	0	0.156091599753855	0.0392600834426569	0.181943672345465	0	0.0976243714493576	0.126810233155556	0.0436101867204035	0	0.138415333831743	0.0697703972054473	0.0730640416129537	0	0.0728512970338415	0	0.103660414002302	0	0	0.0453150815586943	0.0810792048872844	0.220475774549463	0.223264095896647	0.148407082137798	0	0.0842345097850325	0	0	0
THOC3	0.0414356726939588	0.0689100325745278	0.201909063002229	0.0443967826006253	0.0350658089961266	0.103136769712315	0.104425427731978	0	0.0639961389709989	0	0	0.159265317342381	0	0	0.0326574074227429	0.028959164111409	0.0486752965003395	0.0984700431654496	0.0301742186305975	0	0.0617259606932326	0	0.0610868445351469	0.0805284793984459	0.0809205864561572	0.081937764090029	0	0.113354606756045	0	0.094141826624153	0.0496588766842615	0	0	0	0	0.0544371125442807	0.0612687662829767	0	0.0953300743352215	0
ORMDL1	0.211786269755013	0.222385605025379	0.289889848089143	0.253276367589535	0.433501216576801	0.0966681446125265	0.369464860278269	0.0864745310305182	0.157162640289436	0.255579368458218	0.225954410620841	0.159265317342381	0.206238439091723	0.119526779103513	0.200516802759733	0.196639747339914	0.192173621172394	0.300135704066989	0.243205819956031	0.401501860812737	0.227529220032642	0.430405524242583	0.379051592268917	0.213113867059819	0.157705480884971	0.184611368139545	0.313821428565044	0.260944457307212	0.201634446937598	0.288989435996099	0.367494193549889	0.385619311421238	0.145833631281314	0.0861574576899534	0.294353766540893	0.228449029003613	0.261037890798997	0.23850295261342	0.401353196049447	0.280246345179146
DEK	0.254450592789805	0.509098117765543	0.157636553671138	0.134303513050466	0.368878297921192	0.363840572005446	0.133518004193695	0.479867551631494	0.18421305541345	0.172595737041602	0.182517358419188	0.200786667052761	0.403724625447103	0.371592323862914	0.41060538217117	0.475602628227262	0.158889659179874	0.247741875627593	0.292213594840969	0.169386798462186	0.229409834297134	0.292216272109991	0.25596203634312	0.393760891340107	0.276950086011483	0.206018068717134	0.0549910450781565	0.314046147229321	0.481764885778248	0.273998684882731	0.364407961342386	0.29808127334185	0.233331170448628	0.377424065177741	0.224378474969969	0.288167858533834	0.402142589866392	0.158204182560577	0.358060949745808	0
