"gene"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"z.std"
"110"	"RPL34"	0.026797574707779	15.5269648603575	1.22432099025682	0.221962608720398	0.988021514168307	-6.06355032228648	1.22132601119336
"111"	"BCL10"	0.0700702277524255	12.7296052814596	1.21835178232502	0.224215523460924	0.988021514168307	-5.18536882855471	1.21539487056879
"112"	"SYK"	-0.0573151375251424	12.6483447187593	-1.21649488549385	0.224928408197746	0.988021514168307	-5.353447133674	-1.21352697316009
"113"	"SLC30A9"	0.048302059036367	12.5774171942432	1.21059771871036	0.227155289030907	0.988021514168307	-5.49896873887093	1.20771920298828
"114"	"NFKB1"	0.0949679030331046	13.2467738762141	1.20061448335076	0.231017866591155	0.988021514168307	-4.9956235144382	1.19774098950456
"115"	"DENND4B"	-0.0495915001760608	12.5997036291586	-1.19627744726131	0.232700663973451	0.988021514168307	-5.48506029206236	-1.19343088821017
"116"	"STAP1"	0.0588054368753183	12.6587135596801	1.19280588762405	0.234039064560185	0.988021514168307	-5.32455840723548	1.19001864326459
"117"	"IDH3G"	0.063083985765554	12.6794799873441	1.18902773739983	0.235536226929107	0.988021514168307	-5.2805625732788	1.18621798138893
"118"	"GRHPR"	0.0574016517342522	12.6371695443662	1.17710245973655	0.240237258513496	0.988021514168307	-5.38777465086261	1.17439397230121
"119"	"HNRNPDL"	-0.0809023703447892	13.746118851118	-1.16271865560388	0.246035903500519	0.988021514168307	-5.0913408140282	-1.1600316911906
"120"	"TFB1M"	-0.0443945967808937	12.5795404611413	-1.15534099576254	0.249017570276409	0.988021514168307	-5.59168981040305	-1.15273889859047
"121"	"COPS4"	-0.0629008956000882	12.6947839355975	-1.14966146232048	0.251360883826798	0.988021514168307	-5.30595520332465	-1.1470501765992
"122"	"FBXO5"	0.0438683233154858	12.5652120907153	1.14087727417479	0.254976806163631	0.988021514168307	-5.62328246893013	1.13834414777537
"123"	"SUCLG1"	0.069546287060904	12.7560490880684	1.13240485148401	0.25853165644077	0.988021514168307	-5.22783490437374	1.1298684583713
"124"	"WDR82"	-0.0607058363969097	12.6898271891025	-1.13043550991554	0.259353638878263	0.988021514168307	-5.33576460280256	-1.12792016023616
"125"	"ING5"	0.0569950370462182	12.6606857676206	1.12310193313911	0.262436151831125	0.988021514168307	-5.40464663791915	1.12065169360262
"126"	"PAPOLG"	-0.0413831533585056	12.5666362239536	-1.1188223443194	0.26425448124011	0.988021514168307	-5.67328049722252	-1.1163917549515
"127"	"RNF13"	0.0630750125519586	12.7269513738684	1.11513511446065	0.265828118447012	0.988021514168307	-5.31634398814512	1.11272136096573
"128"	"TSPYL2"	0.0601023544884744	12.6793483946489	1.10257710486543	0.271236261372852	0.988021514168307	-5.39172625235885	1.10022003939474
"129"	"MRM2"	-0.0529851904176174	12.6507948031446	-1.10056560320214	0.272109515604264	0.988021514168307	-5.45007204125813	-1.0982175247092
"130"	"PCMT1"	-0.0720074024018912	12.8401844903661	-1.09998379835963	0.272376861437615	0.988021514168307	-5.19866853627718	-1.09760533685873
"131"	"GPM6B"	0.0606670486746463	12.7203549423956	1.08110185361595	0.280659318344378	0.988021514168307	-5.33709398753891	1.0788394203184
"132"	"PSIP1"	0.0744279576322846	12.8431146527968	1.08071770623072	0.28082988844209	0.988021514168307	-5.21136006572886	1.07845693944718
"133"	"CFAP36"	0.0454018317637997	12.5964560733948	1.07064669404465	0.285326910026268	0.988021514168307	-5.60394799161998	1.06842929139541
"134"	"ANAPC10"	-0.0446499232990395	12.5981167415145	-1.06851959837762	0.28628295453039	0.988021514168307	-5.63414226420996	-1.06631127460942
"135"	"ARID4B"	0.0804251733361982	13.2406431243322	1.06737561543396	0.28680962662001	0.988021514168307	-5.12832840532357	1.06514652836683
"136"	"ADSS"	-0.0663604434943098	12.7738182734127	-1.06716581245999	0.286909380506989	0.988021514168307	-5.28495477650089	-1.06492608329843
"137"	"MAP3K1"	-0.0563080155955641	12.6913420346362	-1.06504459563199	0.287849507106814	0.988021514168307	-5.43041337320378	-1.06285104411961
"138"	"COX7A2L"	-0.0785771948375756	13.1868445082874	-1.06310695327077	0.288725529104411	0.988021514168307	-5.13525116581869	-1.06092160656131
"139"	"ITGB1BP1"	-0.06119943725784	12.7451274636304	-1.04263489910791	0.298091483654754	0.988021514168307	-5.35247237299323	-1.0405348457149
"140"	"EIF4E2"	0.0629302619270676	12.7514320415835	1.03322483990504	0.302478533215459	0.988021514168307	-5.32908005709833	1.03113283216103
"141"	"TMEM69"	0.0412986723302434	12.5825908245065	1.03125606411431	0.303395751262681	0.988021514168307	-5.68370913442322	1.02917861106729
"142"	"HNRNPH1"	0.0762933798606758	13.0689293514953	1.02065654693537	0.308371405822826	0.988021514168307	-5.19258056699711	1.0186452665889
"143"	"DALRD3"	-0.0541725794947944	12.6944460496234	-1.01724385024791	0.309988531340464	0.988021514168307	-5.44917214797812	-1.01524609824137
"144"	"GNL2"	0.0502228931049237	12.6697783273247	1.01611264117811	0.310525801900403	0.988021514168307	-5.50334483898874	1.01411935836775
"145"	"NSMAF"	0.0489793135878573	12.6385559914692	1.01372153354482	0.311663497669802	0.988021514168307	-5.55359396874107	1.01173767294611
"146"	"MGST3"	0.0575850388517632	12.7231639493865	1.01056229882711	0.313170903990961	0.988021514168307	-5.40153679285341	1.00859083613729
"147"	"IRAK2"	-0.0462093622505627	12.6140044560547	-1.00752037904114	0.314626889019347	0.988021514168307	-5.64166631055311	-1.005560799032
"148"	"UGCG"	0.0476514382184138	12.6358620468234	1.00225855536489	0.317155960145999	0.988021514168307	-5.57438161035731	1.00031940310687
"149"	"UQCRQ"	-0.0757883426536331	13.2125434829502	-0.997711638551256	0.319352185230332	0.988021514168307	-5.19155491828768	-0.99579000994626
"150"	"HADHA"	-0.0690800873899448	12.9467417413287	-0.994714778485254	0.320820692697659	0.988021514168307	-5.23817679538006	-0.992772790587608
"151"	"LZTFL1"	-0.0368858102216946	12.5635172425885	-0.993365556142671	0.321472580799036	0.988021514168307	-5.80688313258103	-0.991436303340654
"152"	"TENT5C"	-0.0660807661703428	12.8098603856389	-0.993233319439801	0.321525037801767	0.988021514168307	-5.32735444550783	-0.991328834076712
"153"	"KIDINS220"	0.0391535295370989	12.5788089343347	0.989532317667413	0.323339097144145	0.988021514168307	-5.73000688212017	0.987619368088711
"154"	"ISY1"	-0.0479162856935479	12.6474627376653	-0.988283679282829	0.323937842190629	0.988021514168307	-5.56919123877663	-0.986398008047115
"155"	"CDKN2AIP"	-0.0426492720364414	12.6100928822855	-0.979873041293951	0.328064916842604	0.988021514168307	-5.68734172576346	-0.978019020596572
"156"	"TOR1A"	-0.0469615376777222	12.6537988567587	-0.965862343927054	0.335015763491972	0.988021514168307	-5.58525190613587	-0.964060163376912
"157"	"PPA2"	0.0485904992442227	12.6780301653739	0.956797203993351	0.339563546432216	0.988021514168307	-5.54652854317101	0.955027982216449
"158"	"NOM1"	0.0434918449271155	12.6238827908022	0.949972664256612	0.343024046629607	0.988021514168307	-5.6565652232669	0.948207073949847
"159"	"RBMX"	0.0698329407234196	13.4898529246449	0.949266398883032	0.343371724144843	0.988021514168307	-5.2530970252769	0.947524212923585
"160"	"CDC42EP3"	-0.0556388299798747	12.7279754407905	-0.944701283002512	0.345713474081664	0.988021514168307	-5.45710317757942	-0.942936323662838
"161"	"NUDCD3"	0.0460217611511726	12.6407970979061	0.94225428559171	0.346960434141802	0.988021514168307	-5.61159087158657	0.940501395575181
"162"	"PDIA6"	-0.0690229717168367	12.9947806279736	-0.940109329350523	0.348039091383364	0.988021514168307	-5.27816227530945	-0.938399600103484
"163"	"RAB28"	-0.0481789517686432	12.6841188248387	-0.937993610977832	0.349130139056776	0.988021514168307	-5.55013238933843	-0.936277870237405
"164"	"SMAD5"	0.0348027581114712	12.5532171808336	0.929279834624518	0.353621902907226	0.988021514168307	-5.85843424129763	0.927586885863416
"165"	"DCUN1D1"	-0.0447097573375571	12.6505212536718	-0.916161997465674	0.360435788747405	0.988021514168307	-5.62297371132297	-0.914535013093313
"166"	"LTA"	0.033131486018759	12.5518839751803	0.906939662844962	0.365283314702862	0.988021514168307	-5.90407253774932	0.905343732695155
"167"	"LRCH3"	0.0460275269266841	12.6628724975139	0.903067401255929	0.367345381311566	0.988021514168307	-5.6038513635154	0.901457010138999
"168"	"TMEM41A"	-0.0329541903287041	12.5635963616985	-0.897186956396117	0.370466336537733	0.988021514168307	-5.88569705740231	-0.895600185619819
"169"	"PRPF38A"	0.0584807204788695	12.7999086159914	0.896025810774363	0.371085032028168	0.988021514168307	-5.39955669057014	0.894442779930421
"170"	"RIPK2"	0.0427526133692217	12.6382476273284	0.893219675181619	0.372570308222416	0.988021514168307	-5.66666701847031	0.891669123035689
"171"	"KDM5C"	0.033140783675448	12.5627477428362	0.891930701611496	0.373259536007487	0.988021514168307	-5.88602974385927	0.890384362644621
"172"	"COBLL1"	-0.0625032322464183	12.912368106333	-0.890169190187203	0.374202717847504	0.988021514168307	-5.34523113280799	-0.888628595143445
"173"	"MAP7D1"	-0.0483394852644452	12.7023871193421	-0.871334012806863	0.384391826846552	0.988021514168307	-5.55008543059405	-0.869832721225147
"174"	"IP6K2"	0.0446104020139023	12.6612272727599	0.866757933521536	0.386878442844238	0.988021514168307	-5.63326162221805	0.865292178189589
"175"	"INTS6L"	-0.0317137472469666	12.5590481029603	-0.863730254783965	0.388536769568748	0.988021514168307	-5.92432045483326	-0.862273976617334
"176"	"C8orf76"	-0.0321768255711343	12.561123776496	-0.863184721052881	0.388836032738886	0.988021514168307	-5.927909984098	-0.861730145644723
"177"	"CCDC71"	0.0320349714411199	12.5656061799528	0.85811303513426	0.391624955203434	0.988021514168307	-5.91144444509161	0.856674219069914
"178"	"ADPRHL2"	-0.0452418539327061	12.708920322368	-0.851451553495304	0.395315356225934	0.988021514168307	-5.61650099419635	-0.850017501116623
"179"	"ARL6IP6"	-0.0395993979064923	12.6314214100031	-0.850364747311442	0.395909247320004	0.988021514168307	-5.73155700554959	-0.84894976218315
"180"	"PDE6D"	-0.0370082584183816	12.6077855124222	-0.846577644843498	0.398013584876211	0.988021514168307	-5.80184450844288	-0.845174200212984
"181"	"CAPN7"	0.0365639883455865	12.6048718038007	0.845911814783144	0.398396328648732	0.988021514168307	-5.79634852175003	0.844488783326165
"182"	"SCRN1"	0.0356903975978709	12.597312987869	0.845593979813851	0.398561274293586	0.988021514168307	-5.81844282256006	0.844193521254966
"183"	"DNAJB14"	0.0554164752457242	12.84235776794	0.83567385651648	0.404121239339183	0.988021514168307	-5.41539569675577	0.834283514509667
"184"	"RALB"	0.0369728877108991	12.6115020869856	0.835518665138688	0.404220871325662	0.988021514168307	-5.77400775205679	0.834106679818931
"185"	"ACAP2"	-0.0546614187890183	12.8050971376831	-0.834643575387686	0.404698912002416	0.988021514168307	-5.45652160478516	-0.833258578124404
"186"	"HLA-E"	0.0381627070598357	14.3864552306929	0.830712524355337	0.406916599464783	0.988021514168307	-5.741851809465	0.82933194469006
"187"	"VAMP3"	-0.036326488754832	12.6124090839591	-0.829847720927556	0.407398313616613	0.988021514168307	-5.81062061341258	-0.828480712355446
"188"	"URM1"	0.0480471208288905	12.7390938392835	0.82978606152421	0.40742535418154	0.988021514168307	-5.52881871472398	0.828432947035348
"189"	"IMPA1"	-0.0343703392010316	12.5952879815548	-0.824855520607358	0.410214095248576	0.988021514168307	-5.85678865678755	-0.82351692716079
"190"	"BCL6"	-0.0341752072702587	12.5939113510109	-0.822511713134604	0.41155912960926	0.988021514168307	-5.86420910894687	-0.821152990325135
"191"	"MAGED2"	-0.0510478565823813	12.7926477166443	-0.818683777382288	0.413720900789446	0.988021514168307	-5.47835946842929	-0.817363197560133
"192"	"ODC1"	0.0608481855746113	13.2356824943237	0.810633432338088	0.41833624190551	0.988021514168307	-5.32703334164536	0.809311067240476
